AKAddress,Chain,DApp,loss,time,VicAddress,AKTx
0x4f4e0f2cb72E718fC0433222768c57e823162152,eth,bZx,350k,2020/02/18,0x2157a7894439191e520825fe9399ab8655e0f708,0x1af4a36c8cb7c08e7a5eb83b1ad172a92df922b7b1eba6fa7acb688c94f47d97
0x81d73c55458f024cdc82bbf27468a2deaa631407,eth,Balancer,447K,2020/06/28,0x0e511Aa1a137AaD267dfe3a6bFCa0b856C1a3682,0x013be97768b702fe8eccef1a40544d5ecb3c1961ad5f87fee4d16fdc08c78106
0x414a0a46c49b1cb326426db8af667d6eca5cad24,eth,Loopring,29K,2020/09/30,0x4b89f8996892d137c3de1312d1dd4e4f4ffca171,0x33eab26b3d33672e6676e4d0cfbc2d8b29d9d93200c6e79a0a1cc9b6748f84f8
0xc6028a9Fa486F52efd2B95B949AC630d287CE0aF,eth,Harvest,21.5M,2020/10/26,0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,0x35f8d2f572fceaac9288e5d462117850ef2694786992a8c3f6d02612277b0877
0x2421Ce13D1d44025f7cD62459542f037dDe3aB0A,eth,Plouto Finance,650K,2020/10/29,0x329239599afb305da0a2ec69c58f8a6697f9f88d,0xb4dd46d5d85a1b04fa4af30efaa57fab98ea03ae19de46aaf215706fd120af44
0x9e0259437804C7Bf175421A451bc80611a0B93C3,eth,CheeseBank,3.3M,2020/11/06,0x5e181bdde2fa8af7265cb3124735e9a13779c021,0x600a869aa3a259158310a233b815ff67ca41eab8961a49918c2031297a02f1cc
0x675BD0A0b03096c5ead734cFa00C7620538C7C6F,eth,ValueDeFi,6M,2020/11/14,0x55bf8304c78ba6fe47fd251f37d7beb485f86d26,0x46a03488247425f845e444b9c10b52ba3c14927c687d38287c0faddc7471150a
0x9be506b15a45757e1fb36e978ecadb415aaba9e0,eth,Seal Finance,4.3K,2020/11/15,0x33c2da7fd5b125e629b3950f3c38d7f721d7b30d,0xddcbc6f146ce81dd2c0104d02c24b75605defa0cbbbca9adfcbae038ba61ad5b
0xdF8BEE861227FFC5EEA819C332A1C170Ae3dbACb,eth,Warp Finance,7.8M,2020/12/17,0xba539b9a5c2d412cb10e5770435f362094f9541c,0x8bb8dc5c7c830bac85fa48acad2505e9300a91c3ff239c9517d0cae33b595090
0x3523B46A2CCd8b43B2141ab0Ccc38F7B013b771C,bsc,ApeRocket,1.26M,2021/07/14,0x274b5b7868c848ac690dc9b4011e9e7e29133700,0x701a308fba23f9b328d2cdb6c7b245f6c3063a510e0d5bc21d2477c9084f93e0
0x45f013c66a9827f62e3d0f43b17157aa9e7f9137,eth,Array Finance,516K,2021/07/18,0xa800cda5f3416a6fb64ef93d84d6298a685d190d,0xa17bbc7c9ab17aa88fdb5de83b41de982845e9c9c072efff6709dd29febf0daa
0xa4c86b100213a580b59f98152d832c75af1a46fb,bsc,Zenon,1M,2021/11/20,0x8a7ca49f42e5196c26bb00fa014352e5d065db4d,0xc14ae484b49a346fca9bb414e302c6a9ad0e16fc085c8e197ac7ae85df5727fc
0x9be506b15a45757e1fb36e978ecadb415aaba9e0,bsc,Collect Coin,1M,2021/12/01,0x6b81ed499bfe7f4cb79c381892e5ce69c3c9a9df,0x85778af13373250cd7d2a09903128c086e76bbbb5adc61b3df74ae8b126abfd8
0x28ce139f28915f092248cc55cda2e03a2b373321,bsc,IVM,1M,2021/12/17,0x4578e31050eeada117f5d65cd8b1318a32eca864,0xb9310640e7b08d11e304075378487100b3f4e7ac533b7afc21f51da79b4d0983
0x95d5b64abf9c999d26fe6313fbd690a32cdbc04d,bsc,MIGE,42,2022/02/09/,0x6da7d2abaefe207457ced443e4b685d750c0cb49,0x94fa9e1dde1b5f8a92beae8ae50581a82b190a47e6bf2d96a859640bfcc290e2
0x6A6d593ED7458B8213fa71F1adc4A9E5fD0B5A58,ftm,One Ring,1.45M,2022/03/21,0xc06826f52f29b34c5d8b2c61abf844cebcf78abf,0x87b268c3b5ba95011d7aba32f32199dfd4227195daa3b3b3b57b9c2f7e48672f
0x614a198523Aee53B420FD20d0c97481226C4cE85,bsc,Wiener DOGE,30K,2022/04/25,0xb3e708a6d1221ed7c58b88622fdbee2c03e4db4d,0x4f2005e3815c15d1a9abd8588dd1464769a00414a6b7adcbfd75a5331d378e1d
0x6877F0D7815b0389396454C58b2118ACD0aBB79A,bsc,bDollar,2.3K,2022/05/21,0x190b589cf9fb8ddeabbfeae36a813ffb2a702454,0x9b16b1b3bf587db1257c06bebd810b4ae364aab42510d0d2eb560c2565bbe7b4
0x3463a663de4ccc59c8b21190f81027096f18cf2a,bsc,Novo,89.6K,2022/05/29,0xa0787daad6062349f63b7c228cbfd5d8a3db08f1,0xc346adf14e5082e6df5aeae650f3d7f606d7e08247c2b856510766b4dfcdc57f
0x724a6522779b7d749994fd1b042137d7aa7d2fe3,bsc,Fswap,432K,2022/06/13,0xa0ecaf5edf5df69edc7768da897dcea7d0c8e526,0x700404943edd4ed9f40c7b17b476c0b63693a1aa77184da2c66f740ad01425b2
0xf508c58ce37ce40a40997c715075172691f92e2d,eth,InverseFi,1.3M,2022/06/16,0x7fcb7dac61ee35b3d4a51117a7c58d53f0a8a670,0x958236266991bc3fe3b77feaacea120f172c0708ad01c7a715b255f218f9313c
0x3d817Ea746Edd02C088c4DF47C0eCe0BD28DcD72,bsc,SpaceGodzilla,25K,2022/07/13,0x2287C04a15bb11ad1358BA5702C1C95E2D13a5E0,0x7f183df11f1a0225b5eb5bb2296b5dc51c0f3570e8cc15f0754de8e6f8b4cca4
0xC30808D9373093fBFCEc9e026457C6a9DaB706a7,bsc,EGDFinance,36K,2022/08/07,0x93c175439726797dcee24d08e4ac9164e88e7aee,0x50da0b1b6e34bce59769157df769eb45fa11efc7d0e292900d6b0a86ae66a2b3
0xb8D700f30d93FAb242429245E892600dCC03935D,bsc,ZoomproFinance,61K,2022/09/05,0x9CE084C378B3E65A164aeba12015ef3881E0F853,0xe176bd9cfefd40dc03508e91d856bd1fe72ffc1e9260cd63502db68962b4de1a
0xA35ef9fA2F5E0527CB9fBB6F9D3a24cfeD948863,bsc,NewFreeDAO,125M,2022/09/08,0x8b068e22e9a4a9bca3c321e0ec428abf32691d1e,0x1fea385acf7ff046d928d4041db017e1d7ead66727ce7aacb3296b9d485d4a26
0x4e77DF7b9cDcECeC4115e59546F3EAcBA095a89f,bsc,BXH,40K,2022/09/28,0x27539b1dee647b38e1b987c41c5336b1a8dce663,0xa13c8c7a0c97093dba3096c88044273c29cebeee109e23622cd412dcca8f50f4
0x2Df9c154fe24D081cfE568645Fb4075d725431e0,eth,TempleDao,2.3M,2022/10/11,0xd2869042e12a3506100af1d192b5b04d65137941,0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5
0xD7ba198ce82f4c46AD8F6148CCFDB41866750231,bsc,ATK,127K,2022/10/12,0x9cb928bf50ed220ac8f703bce35be5ce7f56c99c,0xb181e88e6b37ee9986f2a57aefb94779402fdb928654aa7c1dda5138b90d0e14
0x561d38206dD390e173B6236e6A2316687DfC31A9,bsc,MetaverseToken,1M,2022/10/16,0x2f3f25046ea518d1e524b8fb6147c656d6722ced,0xb1db9743efbc306d9ba7b5b892e5b5d7cc2319d85ba6569fed01892bb49ea499
0x83797825f6020A443B95Fa3932ab13Dd61d48b49,bsc,PlantWorld,24.5K,2022/10/17,0x29b2525e11bc0b0e9e59f705f318601ea6756645,0x8385625e9d8011f4ad5d023d64dc7985f0315b6a4be37424c7212fe4c10dafe0
0x80e5FC0d72e4814cb52C16A18c2F2B87eF1Ea2d4,bsc,HEALTH,8.8K,2022/10/20,0x32b166e082993af6598a89397e82e123ca44e74e,0xae8ca9dc8258ae32899fe641985739c3fa53ab1f603973ac74b424e165c66ccf
0xEb4c67E5BE040068FA477a539341d6aeF081E4Eb,polygon,Market,180K,2022/10/24,0x3dC7E6FF0fB79770FA6FB05d1ea4deACCe823943,0xb8efe839da0c89daa763f39f30577dc21937ae351c6f99336a0017e63d387558
0x9C5A2A6431523fBBC648fb83137A20A2C1789C56,eth,n00dleswap,31K,2022/10/25,0x3561081260186e69369e6c32f280836554292e08,0x8037b3dc0bf9d5d396c10506824096afb8125ea96ada011d35faa89fa3893aea
0x8523C7661850D0Da4D86587ce9674DA23369fF26,bsc,ULME,50K,2022/10/25,0xae975a25646e6eb859615d0a147b909c13d31fed,0xdb9a13bc970b97824e082782e838bdff0b76b30d268f1d66aac507f1d43ff4ed
0x450595E4A42cC08c14091B08DBab654A68B0a877,bsc,VTFToken,111K,2022/10/27,0xc6548caF18e20F88cC437a52B6D388b0D54d830D,0xeeaf7e9662a7488ea724223c5156e209b630cdc21c961b85868fe45b64d9b086
